id_copy,version,date_scraped,analyticsBranch.agentType,analyticsBranch.branchId,analyticsBranch.branchName,analyticsBranch.branchPostcode,analyticsBranch.brandName,analyticsBranch.companyName,analyticsBranch.companyTradingName,analyticsBranch.companyType,analyticsBranch.displayAddress,analyticsBranch.pageType,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.beds,analyticsProperty.businessForSale,analyticsProperty.country,analyticsProperty.currency,analyticsProperty.floorplanCount,analyticsProperty.furnishedType,analyticsProperty.hasOnlineViewing,analyticsProperty.imageCount,analyticsProperty.latitude,analyticsProperty.longitude,analyticsProperty.letAgreed,analyticsProperty.lettingType,analyticsProperty.maxSizeAc,analyticsProperty.maxSizeFt,analyticsProperty.minSizeAc,analyticsProperty.minSizeFt,analyticsProperty.ownership,analyticsProperty.postcode,analyticsProperty.preOwned,analyticsProperty.price,analyticsProperty.priceQualifier,analyticsProperty.propertyId,analyticsProperty.propertySubType,analyticsProperty.propertyType,analyticsProperty.retirement,analyticsProperty.selectedCurrency,analyticsProperty.selectedPrice,analyticsProperty.soldSTC,analyticsProperty.videoProvider,analyticsProperty.viewType,analyticsProperty.customUri,Unnamed: 46
49303873,v0021_300622,2022-08-14 12:09:25,ea_dual,83081,Essex,,MS Estates,MS Estates,MS Estates,iea,"525 Gale Street,
Dagenham,
RM9 4TP",Standard,20150409,False,3,False,GB,GBP,0,Not Specified,False,10,51.52488,0.1872,False,Long term,,,,,Non-shared ownership,RM13 8JU,Resale,450000,Guide Price,49303873,Terraced,Houses,False,,,True,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
50134461,v0021_300622,2022-07-03 11:49:29,ea_dual,169667,Isleworth,,Monarch Residential,Monarch Commercial Ltd,Monarch Residential,iea,"Monarch House,
8 Church Street,
Isleworth,
TW7 6XB",Microsite,20170823,False,0,False,GB,GBP,1,Not Specified,False,7,51.46768,-0.3681,False,Long term,0.0087465564738292,381.0,0.0087465564738292,381.0,Non-shared ownership,TW3 3GF,New Home,275000,None,50134461,Studio,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/new-homes-for-sale/properties,
50135055,v0021_300622,2022-07-03 10:52:43,ea_dual,169667,Isleworth,,Monarch Residential,Monarch Commercial Ltd,Monarch Residential,iea,"Monarch House,
8 Church Street,
Isleworth,
TW7 6XB",Microsite,20170823,False,0,False,GB,GBP,1,Not Specified,False,7,51.46768,-0.3681,False,Long term,0.008149678604224,355.0,0.008149678604224,355.0,Non-shared ownership,TW3 3GF,Resale,265000,None,50135055,Studio,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
50135445,v0021_300622,2022-07-03 10:50:43,ea_dual,169667,Isleworth,,Monarch Residential,Monarch Commercial Ltd,Monarch Residential,iea,"Monarch House,
8 Church Street,
Isleworth,
TW7 6XB",Microsite,20170823,False,0,False,GB,GBP,1,Not Specified,False,7,51.46768,-0.3681,False,Long term,0.0083103764921946,362.0,0.0083103764921946,362.0,Non-shared ownership,TW3 3GF,Resale,270000,None,50135445,Studio,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
52064391,v0021_300622,2022-08-18 18:44:10,ea_dual,169667,Isleworth,,Monarch Residential,Monarch Commercial Ltd,Monarch Residential,iea,"Monarch House,
8 Church Street,
Isleworth,
TW7 6XB",Microsite,20171214,False,2,False,GB,GBP,0,Not Specified,False,1,51.4708,-0.36182,False,Long term,,,,,Non-shared ownership,TW3 1NQ,Resale,349950,None,52064391,Apartment,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
52187854,v0021_300622,2022-08-18 18:52:18,ea_dual,44562,London,,Westways,Westways,Westways,iea,"20 Great Western Road,
London,
W9 3NN",Standard,20151114,False,1,False,GB,GBP,1,Not Specified,False,8,51.527199,-0.202898,False,Long term,,,,,Non-shared ownership,W9 3DG,Resale,450000,Offers in Excess of,52187854,Apartment,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
52675628,v0021_300622,2022-07-16 11:19:45,ea_sales,55815,London,,Residential London,Residential London Ltd.,Residential London,iea,"1 Berkeley Street,
London,
W1J 8DJ",Standard,20150609,False,2,False,GB,GBP,1,Unfurnished,False,1,51.501114,0.026315,False,Long term,,,,,Non-shared ownership,E16 2BG,New Home,490000,None,52675628,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/new-homes-for-sale/properties,
52845963,v0021_220622,2022-06-26 14:27:29,ea_sales,54650,South Norwood,,Homecastle Estate Agents,Homecastle Estate Agents,Homecastle Estate Agents,iea,"69 High Street,
London,
SE25 6EB",Microsite,20180205,False,2,False,GB,GBP,1,Not Specified,False,8,51.39804,-0.076812,False,Long term,,,,,Non-shared ownership,SE25 6LW,Resale,200000,None,52845963,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
52913496,v0021_220622,2022-06-23 15:55:04,ea_sales,50889,Northolt,,Brian Cox,Brian Cox,,iea,"171 - 175 Church Road,
Northolt,
UB5 5AG",Microsite,20180210,False,1,False,GB,GBP,1,Not Specified,False,7,51.539383,-0.382239,False,Long term,,,,,Non-shared ownership,UB5 5UH,Resale,220000,Offers in Excess of,52913496,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
53609433,v0021_300622,2022-08-14 09:37:01,ea_dual,17067,London,,Arlington Estates,Arlington Estates,Arlington Estates,iea,"4b Leroy House,
436 Essex Road,
London,
N1 3QP",Microsite,20180327,False,1,False,GB,GBP,1,Not Specified,False,11,51.53262,-0.10786,False,Long term,0.0123507805325987,538.0,0.0123507805325987,538.0,Non-shared ownership,N1 9PG,Resale,489995,None,53609433,Flat,Flats / Apartments,False,,,False,No Video,Current,https://www.rightmove.co.uk/property-for-sale/properties,
